Semana	Rango de Fechas	Fase	Tareas Específicas	Hito/Entregable
1	08 Sep - 12 Sep 2025	Presentación de la POC	Analizar el código base y la documentación. Definir el alcance de la POC y el flujo de trabajo del prototipo para la presentación.	Prueba de Concepto (POC) presentada a la Economista Jefe y el equipo.
2	15 Sep - 19 Sep 2025	Desarrollo I	Construir la primera versión del prototipo de la ficha de conciliación. Mapear las variables clave para la visualización de los datos históricos.	Prototipo funcional de la Ficha de Conciliación.
3	22 Sep - 26 Sep 2025	Almacenamiento y Soporte	Diseñar la estructura de la base de datos para guardar la información. Configurar la plataforma para almacenar los datos. Desarrollar la funcionalidad para generar un soporte en PDF o formato impreso.	Plataforma de almacenamiento estructurada y funcionalidad de exportación a PDF.
4	29 Sep - 03 Oct 2025	Desarrollo II / Enfoque en DAE	Desarrollar el dashboard principal. Iniciar la construcción de las fichas de intervención y prevención. (Viernes 3 de octubre) Asignación de tareas para la página de la direccion de la DAE y el chatbot SIMBOT.	Avance del dashboard y las fichas de intervención y prevención.
5	06 Oct - 10 Oct 2025	Priorización Proyectos Ernesto	(Lunes a Jueves) Desarrollo y soporte a los proyectos del Ingeniero Ernesto. (Viernes) Asignación de tareas para la página de la DAE y el chatbot SIMBOT.	Avance en los proyectos del Ingeniero Ernesto.
6	13 Oct - 17 Oct 2025	Priorización Proyectos Ernesto	(Lunes a Jueves) Desarrollo y soporte a los proyectos del Ingeniero Ernesto. (Viernes) Asignación de tareas para la página de la DAE y el chatbot SIMBOT.	Avance en los proyectos del Ingeniero Ernesto.
7	20 Oct - 24 Oct 2025	Pruebas I y Captura de Información	Retomar pruebas internas del prototipo del proyecto principal. Implementar la funcionalidad de captura de información en las fichas. Ajustar el diseño gráfico. (Viernes) Asignación de tareas para la página de la DAE y el chatbot SIMBOT.	Prototipos funcionales con ajustes iniciales e implementación de la captura de datos.
8	27 Oct - 31 Oct 2025	Pruebas II y Análisis	Planificar y ejecutar pruebas de usabilidad con procuradores. Generar el análisis de textos y preguntas a partir de la información capturada. (Viernes) Asignación de tareas para la página de la DAE y el chatbot SIMBOT.	Entrega de los prototipos para uso y un informe de análisis inicial.
9	03 Nov - 07 Nov 2025	Consolidación	Documentar hallazgos y mejoras necesarias. Finalizar la documentación técnica del proyecto. Integrar los datos de la Agencia Nacional de Defensa Jurídica del Estado (ANDJE).	Documentación técnica completa y plan de integración de datos.
10	10 Nov - 14 Nov 2025	Presentación Final	Preparar los materiales para la presentación final. Realizar la presentación a la dirección.	Presentación final del producto e informe del proyecto.
11	17 Nov - 21 Nov 2025	Capacitación y Cierre I	Diseñar el plan de capacitación para los procuradores. Crear los materiales de entrenamiento. Completar trámites de vinculación y transferir conocimiento al equipo.	Plan de capacitación y materiales de formación. Documentos administrativos y archivos.
12	24 Nov - 28 Nov 2025	Validación y Cierre II	Revisar los entregables finales para asegurar que todo esté completo. Realizar el cierre formal del proyecto. Entregar los documentos finales para su archivo.	Informe de validación y cierre oficial del proyecto el 30 de noviembre de 2025.
